Unnamed: 0,property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category,price
292,0.0,101.0,2,2,2.0,1.0,998.0,0,0,1,1.0,1.0,0.9
293,1.0,64.0,2,8,4.0,3.0,1458.0,0,1,2,2.0,2.0,3.8
294,0.0,105.0,3,3,2.0,3.0,1574.0,0,0,1,1.0,2.0,0.65
295,0.0,44.0,3,3,3.0,4.0,1535.0,0,0,1,1.0,1.0,1.36
296,1.0,11.0,7,5,4.0,3.0,4500.0,1,0,1,1.0,2.0,11.3
297,0.0,44.0,3,3,4.0,4.0,1725.0,0,0,1,1.0,1.0,1.25
298,0.0,14.0,2,1,1.0,3.0,1000.0,0,0,1,1.0,1.0,0.28
299,0.0,4.0,2,2,3.0,3.0,1009.0,0,1,1,2.0,1.0,1.3
300,1.0,33.0,10,10,4.0,3.0,8056.0,0,0,1,1.0,1.0,13.0
301,0.0,60.0,3,4,4.0,3.0,2500.0,1,0,2,0.0,2.0,4.8
302,0.0,6.0,4,5,4.0,3.0,2991.0,1,1,1,2.0,1.0,1.35
303,0.0,60.0,3,4,3.0,4.0,2661.0,1,0,0,1.0,2.0,8.25
305,1.0,36.0,1,1,0.0,0.0,1000.0,0,0,1,1.0,1.0,0.85
306,0.0,105.0,3,3,3.0,0.0,1304.0,0,0,1,2.0,1.0,0.65
307,0.0,78.0,2,2,2.0,0.0,1100.0,0,0,1,1.0,2.0,0.75
308,1.0,79.0,1,1,1.0,2.0,758.0,0,0,1,1.0,1.0,0.69
309,1.0,48.0,9,9,4.0,0.0,2367.0,1,1,2,2.0,2.0,5.0
310,0.0,88.0,3,4,3.0,0.0,1668.0,1,0,1,2.0,2.0,0.88
311,0.0,74.0,3,4,2.0,3.0,1800.0,1,0,2,0.0,0.0,2.1
312,0.0,73.0,3,3,3.0,4.0,1828.0,0,0,1,2.0,0.0,3.0
313,0.0,103.0,4,4,4.0,0.0,2005.0,1,0,1,1.0,0.0,1.7
314,0.0,95.0,3,3,3.0,3.0,1549.0,1,0,2,2.0,2.0,1.8
315,0.0,69.0,2,2,2.0,1.0,1389.0,0,0,1,1.0,2.0,1.85
316,0.0,60.0,4,5,4.0,3.0,3000.0,1,0,2,0.0,2.0,6.5
317,1.0,31.0,4,4,4.0,2.0,4518.0,0,0,1,1.0,2.0,5.8
